score_name,n_common,pearson_with_target_rank_percentile,spearman_with_target_rank_percentile,path
C_text_hall_minus_nonhall,608,0.5267178804535629,0.5267178804535626,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_text_hall_minus_nonhall.json
Specific_text_threefactor,608,0.522242983189383,0.522242983189383,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_text_threefactor.json
C_itext_hall_minus_nonhall,608,0.4799000426704441,0.4799000426704437,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_itext_hall_minus_nonhall.json
ratio_all,608,0.4779886822948415,0.4779886822948413,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_ratio_all.json
layerweighted_top5mean_alpha2__itext_all__C_itext_mass_HminusG,608,0.4266882588793172,0.4266882588793179,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_itext_mass_HminusG.json
layerweighted_top5mean_alpha2__txt_attn_raw_all__C_itext_mass_HminusG,608,0.4053530904463905,0.405353090446391,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__txt_attn_raw_all__C_itext_mass_HminusG.json
Object_ratio_minus_all,608,0.395573699629976,0.395573699629976,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Object_ratio_minus_all.json
layerweighted_top5mean_alpha2__txt_attn_raw_all__C_logtoi_HminusG,608,0.35107294382066623,0.35107294382066634,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__txt_attn_raw_all__C_logtoi_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_logtoi_HminusG,608,0.3392655857105698,0.33926558571056975,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_logtoi_HminusG.json
C_image_drop_nonhall_minus_hall,608,0.33421993388857596,0.33421993388857596,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_image_drop_nonhall_minus_hall.json
