layer,head,head_id,score,Itext_all,Itext_object,Itext_hallucinated,Itext_non_hallucinated,Img_hallucinated,Img_non_hallucinated,RawTOI_hallucinated,RawTOI_non_hallucinated,image_drop_GminusH,C_toi_HminusG,global_rank
27,12,L27H12,0.5255973918242146,0.5255973918242146,0.6672133420173515,0.6505942377208294,0.6707333957575765,0.011326964387948486,0.02058859261084967,140.9223079251507,111.27037526000376,0.009261628222901183,29.651932665146944,70
12,31,L12H31,0.5236810500266548,0.5236810500266548,0.6375048554823783,0.6510847637365604,0.6346285267712064,0.004741809234536928,0.0040120191132957,256.99734158617304,267.390616911076,-0.0007297901212412273,-10.393275324902959,71
31,31,L31H31,0.5235028595385256,0.5235028595385256,0.6023097615006101,0.5574731469668192,0.6118065003063065,0.02567578227013007,0.028698732522081036,30.99731676029386,35.22768593301243,0.003022950251950967,-4.2303691727185715,72
15,4,L15H4,0.522644307683437,0.522644307683437,0.5457867616118647,0.5788363491495451,0.5387866055174565,0.019922602108155173,0.025907009858150563,50.55935986445683,39.850133053389975,0.005984407749995389,10.709226811066856,73
22,11,L22H11,0.5196342689981464,0.5196342689981464,0.6581151100003737,0.5943566422866678,0.6716196424193449,0.018106465195787364,0.048772560755653636,111.78367946903565,97.34478269303733,0.030666095559866272,14.438896775998316,74
10,2,L10H2,0.5139568489097733,0.5139568489097733,0.5279560639952847,0.500853120167365,0.5336966753477594,0.13461438583574076,0.11970054421276852,6.494478969926809,8.298446655408032,-0.01491384162297224,-1.803967685481223,75
15,10,L15H10,0.5109753872696227,0.5109753872696227,0.5365409938191003,0.5267112187441738,0.5386230155635156,0.1244936578575222,0.1443276179685726,6.593061288013834,7.887749479381077,0.019833960111050403,-1.2946881913672437,76
14,5,L14H5,0.5099574485944559,0.5099574485944559,0.44567814316658566,0.4079914121278401,0.4536604818163017,0.12517067987000804,0.10700414228642488,5.047796973310654,7.087081293915586,-0.018166537583583164,-2.0392843206049314,77
15,24,L15H24,0.5095761499783711,0.5095761499783711,0.6205911286687923,0.6735567800786303,0.6093725975119916,0.10273813019538748,0.12016183107057433,9.729991816850303,7.096299512555369,0.017423700875186854,2.633692304294934,78
12,10,L12H10,0.5071035470202354,0.5071035470202354,0.6264312918284382,0.5839860808404013,0.6354215130237131,0.08965209460464017,0.0799119833287711,10.64136029995362,13.30131296807086,-0.009740111275869073,-2.6599526681172403,79
12,21,L12H21,0.5037082077410683,0.5037082077410683,0.39925253370309943,0.3134613864380738,0.41742375661742015,0.03701178960759064,0.05263056130359903,20.684502590615363,22.76875014995179,0.015618771696008386,-2.0842475593364256,80
26,28,L26H28,0.5018051917998891,0.5018051917998891,0.5865869094893179,0.6391589531096918,0.5754517474808638,0.03227122367798597,0.07800238898303984,149.95959560814103,99.71966359657308,0.04573116530505387,50.239932011567944,81
1,5,L1H5,0.5012891769601465,0.5012891769601465,0.48582180045706014,0.5541110203183931,0.4713576199873438,0.3369834154159173,0.41827070892618984,1.472646422950129,0.9619153788761404,0.08128729351027253,0.5107310440739886,82
14,0,L14H0,0.5006022032682546,0.5006022032682546,0.5097867116174885,0.4950939497385902,0.5128987512607366,0.04903274706040306,0.05206223685641297,11.887290224313665,12.622957522769363,0.003029489796009914,-0.7356672984556987,83
14,29,L14H29,0.49929061404330666,0.49929061404330666,0.43250304915568505,0.4087528656611497,0.4375335201575708,0.18517307680228662,0.2112572040234262,10.541499426160744,7.779157553148139,0.02608412722113959,2.7623418730126046,84
17,24,L17H24,0.4991007018895694,0.4991007018895694,0.7467177499484201,0.7046006907676828,0.7556384660743463,0.024670661951618635,0.02553972418687,60.5764233281798,58.09620294238422,0.0008690622352513638,2.480220385795583,85
9,30,L9H30,0.49798762266117846,0.49798762266117846,0.4387544748443027,0.4460061335529404,0.43721851791757965,0.2847186176256202,0.3298381793919817,3.3300526177710763,2.4830144921065544,0.045119561766361505,0.8470381256645219,86
12,25,L12H25,0.49785402148984054,0.49785402148984054,0.47473341500501665,0.42932834082293786,0.48435055792367976,0.29302666627470103,0.2918040705793744,4.246114458892672,4.477604510148688,-0.0012225956953266226,-0.2314900512560163,87
26,14,L26H14,0.49548699062684903,0.49548699062684903,0.44522596487802574,0.4246505280507022,0.44958400018898653,0.07713641423261029,0.19171437831528654,19.661784572289072,8.577458105395053,0.11457796408267625,11.08432646689402,88
20,31,L20H31,0.4954709469184447,0.4954709469184447,0.6226064595578604,0.6471656917155474,0.6174046258446072,0.024291797016543902,0.031876763989848476,29.931561151717,20.651978586988218,0.007584966973304574,9.27958256472878,89
30,26,L30H26,0.4941754834359031,0.4941754834359031,0.5928406849211632,0.5616809262455195,0.5994405607696865,0.016359741317814792,0.017847387132598216,39.87132920270283,32.86620602155904,0.001487645814783424,7.005123181143794,90
1,20,L1H20,0.49134231187762234,0.49134231187762234,0.4616002334774828,0.5224545707647827,0.4487108181543054,0.2442634830187107,0.29626486002854724,1.6313014821761271,1.1149166275661138,0.052001377009836536,0.5163848546100134,91
9,27,L9H27,0.4904360752491406,0.4904360752491406,0.5472889330924785,0.5616208397108933,0.5442533253607631,0.008602719026050348,0.009240908769304551,86.97368515023997,77.68712311064434,0.0006381897432542038,9.286562039595637,92
19,5,L19H5,0.4900974231975615,0.4900974231975615,0.5573090200056567,0.4977266530709705,0.5699290222535391,0.033067445731026004,0.05525578722602626,21.958261905829367,27.116196020673705,0.022188341495000256,-5.157934114844338,93
0,26,L0H26,0.48886322587381986,0.48886322587381986,0.38887457671565423,0.48501220242730503,0.3685118903202468,0.4297292402934754,0.530495255423695,1.166403766733177,0.7238787249182163,0.1007660151302196,0.4425250418149608,94
18,9,L18H9,0.4884829075015659,0.4884829075015659,0.4293523175910392,0.5347252263762485,0.40703352741620485,0.03892327442593958,0.055396155584025365,48.78302327334033,20.257137754636425,0.016472881158085782,28.52588551870391,95
12,13,L12H13,0.4876646923046614,0.4876646923046614,0.49752358979223243,0.46304191280713025,0.504827073414153,0.23286745859973731,0.2180764333402247,3.340015337985641,4.129619433988398,-0.014791025259512619,-0.789604096002757,96
14,14,L14H14,0.4874790563255046,0.4874790563255046,0.5997558069672194,0.5143013574268626,0.6178557147213546,0.01425266454274627,0.014870753936918495,52.82241768848512,73.85607216522091,0.0006180893941722249,-21.03365447673579,97
19,13,L19H13,0.48590955509058015,0.48590955509058015,0.47372710159949355,0.5524100387233427,0.4570614521052151,0.03763992236606006,0.05792180048352832,22.37587692422798,13.043343960288471,0.02028187811746826,9.33253296393951,98
8,3,L8H3,0.4854572662289116,0.4854572662289116,0.6059394386891203,0.6540925024912275,0.5957402504948821,0.102305275013392,0.09888871956437517,6.466057784731085,5.750951066151273,-0.0034165554490168254,0.7151067185798121,99
15,21,L15H21,0.48436900703518754,0.48436900703518754,0.4303419830091391,0.4360956334690938,0.4291233157175602,0.051440871738154315,0.04647027263536877,10.726603749862342,12.41651778052694,-0.004970599102785543,-1.6899140306645979,100
