rank,head_id,layer,head,fused_score,Itext_all,text_percentile,C_toi_HminusG,contrast_percentile,Itext_hallucinated,Itext_grounded,Img_hallucinated,Img_grounded,LogTOI_gap_HminusG,RawTOI_gap_HminusG
70,L11H17,11,17,0.7297165200391007,0.24494146205069303,0.6539589442815249,0.9767504428796778,0.8054740957966764,0.14912836807818453,0.17337372665964693,0.6916117968638081,0.7497724862405042,0.9244554627506065,0.9767504428796778
71,L16H18,16,18,0.7272727272727273,0.2542068497069531,0.6715542521994136,0.8212276760437494,0.782991202346041,0.23875223260280515,0.19700279831886292,0.06112706710484402,0.07301654637525867,0.14885273473393368,0.8212276760437494
72,L13H4,13,4,0.7243401759530792,0.25992437454522366,0.6793743890518085,0.7303613105654208,0.7693059628543499,0.22121289200034022,0.18315289706491225,0.1326239266671425,0.2020945325077579,0.25877176421334436,0.7303613105654208
73,L16H0,16,0,0.7214076246334311,0.16938896896904604,0.5141739980449658,4.844829761782601,0.9286412512218963,0.21024963875447422,0.12391531975242678,0.03131354643293649,0.029535565213118186,0.5879673811813289,4.844829761782601
74,L14H9,14,9,0.7165200391006843,0.3099857450066772,0.7468230694037146,0.4411192595675515,0.686217008797654,0.2505517153700521,0.2770803110393066,0.23336266190552515,0.3488241588103705,0.15053665182506937,0.4411192595675515
75,L15H17,15,17,0.7018572825024437,0.20267602745742713,0.5855327468230693,1.0740516352749268,0.8181818181818181,0.29366474604803666,0.24646170803621495,0.05334011040443231,0.05638382296655431,0.19429921756905233,1.0740516352749268
76,L12H4,12,4,0.7008797653958945,0.2527577076483588,0.6695992179863148,0.5705079625203848,0.7321603128054741,0.1644711834340056,0.2458249315536222,0.17456383990847374,0.2602251730651163,0.1553591017670144,0.5705079625203848
77,L16H20,16,20,0.6989247311827957,0.460245734143393,0.8914956011730205,0.1424075465967043,0.5063538611925709,0.27293924408510695,0.35321156780480006,0.029275805496972455,0.04080053522933129,0.008845626130767226,0.1424075465967043
78,L14H15,14,15,0.6979472140762464,0.30458897324943146,0.7380254154447703,0.3720900995203724,0.6578690127077225,0.41495924843244314,0.36520849051755233,0.1603820831322473,0.1718573673477386,0.11375006977270896,0.3720900995203724
79,L12H16,12,16,0.6974584555229717,0.1523510840216607,0.4780058651026393,4.138785274348639,0.916911045943304,0.22445683390641016,0.37135569909431415,0.21079372522259546,0.27375619829366993,0.44484224212054513,4.138785274348639
80,L12H5,12,5,0.6915933528836755,0.27476158561617614,0.7008797653958945,0.4353385162862491,0.6823069403714566,0.27787924453246693,0.23130596541492632,0.0561414163959913,0.06080955325225212,0.06128523038830935,0.4353385162862491
81,L12H9,12,9,0.6891495601173021,0.5807035081262231,0.9521016617790812,0.03259544655095148,0.4261974584555229,0.5782659763147023,0.5634619173224412,0.11837450630408673,0.11010927494677751,0.0031952971016493414,0.03259544655095148
82,L16H27,16,27,0.6818181818181819,0.13975500056439372,0.4486803519061584,4.073656310552969,0.9149560117302052,0.19134085779347695,0.13299779885308036,0.03824449028850587,0.04539698295753095,0.48047906488342584,4.073656310552969
83,L13H19,13,19,0.6691104594330402,0.11536863842502074,0.3890518084066471,8.033975137964465,0.9491691104594331,0.3672570842356721,0.16250523308801917,0.04293546991899979,0.045121674680843035,0.8212933461702294,8.033975137964465
84,L15H26,15,26,0.66911045943304,0.3090053063109221,0.7448680351906158,0.25822501052815117,0.5933528836754642,0.23296475706021647,0.19673695186329954,0.03860813822628053,0.036460068056037305,0.0396450316962893,0.25822501052815117
85,L9H18,9,18,0.6603128054740959,0.25477682235965127,0.6735092864125123,0.34148559164180137,0.6471163245356794,0.2514614566298556,0.21274393022726368,0.11709337835469522,0.1295818485028251,0.1018161445734318,0.34148559164180137
86,L13H7,13,7,0.6578690127077224,0.13434612955830502,0.4320625610948191,2.289939197572458,0.8836754643206256,0.2692647660074155,0.1277709782290059,0.06223231406251261,0.05423588642860924,0.6199892533972872,2.289939197572458
87,L9H12,9,12,0.6573802541544477,0.34308470633029525,0.7820136852394917,0.17095207712034766,0.5327468230694037,0.36739532858872215,0.33129029125807674,0.22196331743366463,0.2639078711830704,0.08332453794283556,0.17095207712034766
88,L10H14,10,14,0.653958944281525,0.14565745641419028,0.4643206256109482,1.366084726385866,0.8435972629521017,0.18020738107113798,0.20447683883778875,0.059426845597826745,0.048034443202631436,0.10186787367046657,1.366084726385866
89,L12H26,12,26,0.6520039100684263,0.136395685224207,0.43890518084066477,1.7122170524423552,0.8651026392961877,0.17318137962956073,0.11286785224629514,0.023401941149687962,0.020302687943314707,0.14955624608811968,1.7122170524423552
90,L14H8,14,8,0.6422287390029325,0.1668455319749611,0.5073313782991202,0.7798083604050836,0.7771260997067448,0.19788415963984718,0.16522514403865324,0.027334205867830388,0.02658483552533155,0.1062134263212946,0.7798083604050836
